POSTCODE,Consumption (kWh)
BR1 1AA,83700.2
BR1 1AB,24574.4
BR1 1AE,45422.8
BR1 1BY,72179.3
BR1 1DG,10713.2
BR1 1EG,14085.9
BR1 1HN,60174.4
BR1 1HP,41849.0
BR1 1HR,17105.9
BR1 1HS,20115.4
BR1 1HT,26072.7
BR1 1HW,128451.4
BR1 1JB,82252.4
BR1 1NF,19032.6
BR1 1NN,22549.5
BR1 1NZ,27500.8
BR1 1PE,65617.5
BR1 1PF,14542.8
BR1 1PG,12859.5
BR1 1PQ,34248.8
BR1 1PW,71487.6
BR1 1QA,57935.2
BR1 1RE,49818.1
BR1 1RF,48304.0
BR1 1RH,20422.6
BR1 1RJ,124578.0
BR1 1RP,134602.6
BR1 1RW,41822.3
BR1 1SB,56690.8
BR1 1ST,35828.4
BR1 2AA,150767.0
BR1 2AB,67418.4
BR1 2AD,197084.4
BR1 2AE,134945.8
BR1 2AG,292219.4
BR1 2AH,37313.1
BR1 2AL,134048.5
BR1 2AN,111367.0
BR1 2AP,135909.4
BR1 2AQ,69398.8
BR1 2AR,63083.5
BR1 2AT,106365.3
BR1 2AU,245224.4
BR1 2AW,60058.3
BR1 2AY,157778.1
BR1 2BA,40309.0
BR1 2BB,55387.5
BR1 2BD,99310.5
BR1 2BE,166091.0
BR1 2BG,77671.6
BR1 2BJ,153367.4
BR1 2BL,77942.7
BR1 2BN,50599.3
BR1 2BP,124281.2
BR1 2BQ,27958.3
BR1 2BS,75268.9
BR1 2BT,85762.2
BR1 2BU,40979.4
BR1 2BX,31269.8
BR1 2BY,80436.2
BR1 2DA,101081.1
BR1 2DB,49666.8
BR1 2DD,144019.0
BR1 2DF,23039.2
BR1 2DH,52720.4
BR1 2DJ,70958.9
BR1 2DL,79610.1
BR1 2DN,44477.4
BR1 2DP,44656.6
BR1 2DQ,49164.8
BR1 2DR,103936.8
BR1 2DS,122687.8
BR1 2DU,32041.0
BR1 2DW,111716.4
BR1 2DX,83324.1
BR1 2DZ,33879.8
BR1 2EA,76247.7
BR1 2EB,65514.7
BR1 2ED,64100.7
BR1 2EG,90831.2
BR1 2EH,119778.7
BR1 2EJ,238065.2
BR1 2EL,73484.3
BR1 2EN,124758.5
BR1 2EP,57907.0
BR1 2EQ,187821.8
BR1 2ER,75662.5
BR1 2ES,85595.3
BR1 2ET,120755.0
BR1 2EX,123687.4
BR1 2EY,58024.2
BR1 2EZ,81685.0
BR1 2FA,77451.8
BR1 2FE,48565.9
BR1 2FF,25032.3
BR1 2FH,48691.5
BR1 2FJ,70397.2
BR1 2FQ,65822.5
BR1 2FR,72704.7
BR1 2FS,25175.0
BR1 2FT,46337.4
BR1 2FU,141881.9
BR1 2FW,39219.6
BR1 2FX,45025.0
BR1 2FY,42836.3
BR1 2GE,52763.1
BR1 2GJ,53344.5
BR1 2HA,117890.4
BR1 2HB,65661.0
BR1 2HD,91401.8
BR1 2HF,129192.1
BR1 2HG,120095.0
BR1 2HH,127006.6
BR1 2HJ,29157.2
BR1 2HL,77371.6
BR1 2HN,122181.1
BR1 2HP,70226.2
BR1 2HR,77129.9
BR1 2HS,67589.3
BR1 2HT,100172.7
BR1 2HU,65876.6
BR1 2HW,125677.3
BR1 2HX,37753.3
BR1 2HY,125997.8
BR1 2HZ,60530.4
BR1 2JA,72366.2
BR1 2JD,32984.8
BR1 2JF,74679.7
BR1 2JG,47500.8
BR1 2JH,159507.7
BR1 2JL,126861.8
BR1 2JN,124211.0
BR1 2JP,134807.9
BR1 2JQ,63257.3
BR1 2JR,36045.9
BR1 2JS,59849.6
BR1 2JT,83218.5
BR1 2JU,68964.7
BR1 2JW,87928.1
BR1 2JX,111699.7
BR1 2JY,131442.3
BR1 2JZ,74533.9
BR1 2LA,138993.5
BR1 2LB,151114.0
BR1 2LD,110517.1
BR1 2LE,181934.6
BR1 2LF,142725.5
BR1 2LG,42421.3
BR1 2LH,68809.6
BR1 2LJ,31767.8
BR1 2LL,18144.5
BR1 2LN,42600.9
BR1 2LP,89987.4
BR1 2LQ,64944.9
BR1 2LR,63096.7
BR1 2LS,20456.6
BR1 2LT,26694.2
BR1 2LU,45913.3
BR1 2LX,98603.1
BR1 2LY,85235.7
BR1 2LZ,99911.9
BR1 2NA,147856.3
BR1 2NB,86370.0
BR1 2ND,186424.2
BR1 2NF,56437.8
